Days,Daily,Date
128,9472,5-Jun
129,10408,6-Jun
130,10882,7-Jun
131,8536,8-Jun
132,9981,9-Jun
133,11156,10-Jun
134,11135,11-Jun
135,11306,12-Jun
136,12039,13-Jun
137,11405,14-Jun
138,10032,15-Jun
139,11086,16-Jun
140,13108,17-Jun
141,13829,18-Jun
142,14740,19-Jun
143,15918,20-Jun
144,15151,21-Jun
145,13560,22-Jun
146,15656,23-Jun
147,16868,24-Jun
148,18205,25-Jun
149,18255,26-Jun
150,20142,27-Jun
151,19610,28-Jun
152,18339,29-Jun
153,18256,30-Jun
154,19429,1-Jul
155,21947,2-Jul
156,22718,3-Jul
157,24015,4-Jul
